category,key,text
appearance_hint,plain,那个普通打扮的人
appearance_hint,plain,衣着平常的来客
appearance_hint,decent,穿着体面的人
appearance_hint,decent,那个衣着整洁的人
appearance_hint,decent,打扮得体的来客
appearance_hint,fancy,穿着讲究的人
appearance_hint,fancy,那个衣着光鲜的人
appearance_hint,fancy,打扮精致的来客
age_hint,young,年轻人
age_hint,young,小伙子
age_hint,young,姑娘
age_hint,middle,中年人
age_hint,middle,那位先生
age_hint,middle,那位女士
age_hint,elderly,老人
age_hint,elderly,大爷
age_hint,elderly,大妈
age_hint_gendered,young_male,小伙子
age_hint_gendered,young_male,年轻人
age_hint_gendered,young_female,姑娘
age_hint_gendered,young_female,年轻女子
age_hint_gendered,elderly_male,老人
age_hint_gendered,elderly_male,大爷
age_hint_gendered,elderly_female,老太太
age_hint_gendered,elderly_female,大妈
reputation_greeting,high_humanity,"大家都说你是个好人，我才敢来找你..."
reputation_greeting,high_humanity,"听说老板心善，所以特意来的。"
reputation_greeting,high_humanity,"街坊邻居都说你讲信用，帮帮我吧。"
reputation_greeting,high_humanity,"有人推荐我来这里，说老板你为人厚道。"
reputation_greeting,high_credibility,"你的专业能力人尽皆知，我信得过你。"
reputation_greeting,high_credibility,"听说这里鉴定最准，特意来的。"
reputation_greeting,high_credibility,"朋友说你这里最公道，推荐我来的。"
reputation_greeting,high_credibility,"业界都认可你的眼光，我放心。"
reputation_greeting,low_innocence,听说你这里...不太一样？
reputation_greeting,low_innocence,"有人跟我说，你这里什么都收..."
reputation_greeting,low_innocence,"老板，我有个东西...不太方便去别的地方。"
reputation_greeting,low_innocence,嘘...听说你这里规矩灵活？
contract_label,CHARITY,慈善 (0%)
contract_label,AID,援助 (5%)
contract_label,STANDARD,标准 (10%)
contract_label,SHARK,鲨鱼 (20%)
referral_greeting,default,有人跟我提起过你的店。听说这里诚信经营，所以慕名而来。
referral_greeting,default,朋友推荐我来的。说你这里公道，值得信赖。
referral_greeting,default,有个熟人说在你这里典当过东西，体验不错。我也想来看看。
referral_greeting,default,听说附近的人都说你这老板厚道，我今天专程过来的。
referral_greeting,default,有位朋友赎回了在你这里的典当品，对你赞不绝口。
