id,headline,body,category,priority,duration,sourceLabel,tags,effects,triggers,relatedChainId,triggerMailId,effectCategoryTarget,effectPriceMultiplier,effectRiskModifier,effectActionPointsModifier
news_market_police_raid,治安整顿：雷霆扫穴行动,"市警局宣布启动'雷霆行动'，重点打击地下销赃网络。任何持有或交易来源不明物品的店铺都将面临严厉处罚。建议商家近期谨慎收货。",MARKET_INTEL,50,3,[治安整顿],police;crackdown;risk,negotiation|stolen_risk|15|ABSOLUTE|3,reputation.Underworld>=20;day%7,,,All,1.0,50,
news_consequence_police_investigation,市场监管：违规商户曝光,"市场监督管理局通报，一家位于第12区的典当行因涉嫌收购来源不明物品被立案调查。知情人士透露，该店老板可能面临吊销执照的风险，且在社区内的信誉一落千丈。",NARRATIVE_ECHO,95,2,[市场监管],investigation;penalty;credibility,negotiation|stolen_risk|20|ABSOLUTE|2,,,,,,20,
news_market_luxury_hype,时尚风向：复古风潮回归,"某一线女星近日佩戴中古奢侈品出街，引发抢购热潮。二手市场的名牌包袋和首饰估值有望水涨船高。",MARKET_INTEL,45,2,[时尚风向],luxury;price_up,appraisal|luxury_price|30|PERCENTAGE|2,day>3,,,奢侈品,1.3,,
news_market_gold_up,财经快讯：避险情绪升温,"受国际局势动荡影响，黄金价格创下近十年新高。典当行黄金饰品的回收价格随之上涨。",MARKET_INTEL,40,2,[财经快讯],gold;jewelry;price_up,appraisal|jewelry_price|25|PERCENTAGE|2,day%4,,,珠宝,1.25,,
news_market_electronics_crash,产业新闻：芯片产能过剩,"主要芯片制造商宣布库存积压严重，电子产品新品纷纷降价促销。二手电子产品市场遭遇寒冬。",MARKET_INTEL,40,3,[产业新闻],electronics;price_down,appraisal|electronics_price|-30|PERCENTAGE|3,day>5,,mail_market_crash_tip,电子产品,0.7,,
news_market_art_scam,收藏警示：赝品字画泛滥,"近期一批高仿古董字画流入本市。专家提醒，鉴别难度极大，建议非专业人士暂停相关交易。",MARKET_INTEL,45,2,[收藏警示],antique;fake;risk,appraisal|antique_price|-20|PERCENTAGE|2;appraisal|antique_fake_risk|10|ABSOLUTE|2,day>2,,,古玩,0.8,10,
news_flavor_rain,天气预报：酸性降雨持续,"气象局发布橙色预警。受工业区回流气流影响，未来24小时本市将迎来持续酸雨。这种压抑的天气让人极易疲劳。",FLAVOR,10,1,[天气预报],weather;debuff,player|action_points|-2|ABSOLUTE|1,day%3,,,,,,,-2
news_flavor_holiday,节日通知：联合会庆典,"明天是城市联合会成立纪念日。虽然没有假期，但商业街的节日气氛浓厚，人们更愿意消费。",FLAVOR,10,1,[节日通知],holiday;buff,appraisal|luxury_price|10|PERCENTAGE|1;player|action_points|2|ABSOLUTE|1,day==5;day==10,,,奢侈品,1.1,,2
news_flavor_inflation,经济简报：房租指数上涨,"由于中心区改造计划搁置，边缘街区租金并未如期下调。对于小微企业主来说，这个冬天依然寒冷。",FLAVOR,5,1,[经济简报],economy;atmosphere,,day%5,,,,,
news_flavor_power,市政公告：区域限电通知,"由于能源供应紧张，第12区将在夜间实行间歇性供电。请商户提前做好数据备份并注意安防。",FLAVOR,8,1,[市政公告],infrastructure;debuff,player|action_points|-1|ABSOLUTE|1,day%4,,,,,,,-1
news_flavor_traffic,交通路况：高架桥严重拥堵,"前往第12区的主干道发生连环追尾事故。预计今日客流量将受到明显影响。",FLAVOR,5,1,[交通路况],traffic;atmosphere,,day%6,,,,,
news_violation_low,市场监管：抽查商户资质,"市场监督管理局对第12区多家商铺进行例行抽查，重点检查物品来源凭证。部分商家因手续不齐被要求限期整改。",NARRATIVE_ECHO,60,1,[市场监管],violation;low,,,,,,,
news_violation_medium,市场监管：典当行被约谈,"一家位于第12区的典当行因涉嫌收购可疑物品被监管部门约谈。该行暂停部分业务配合调查。社区居民对此议论纷纷。",NARRATIVE_ECHO,80,2,[市场监管],violation;medium,negotiation|stolen_risk|10|ABSOLUTE|2,,,,,,
news_violation_high,市场监管：典当行被立案调查,"市场监督管理局通报，一家位于第12区的典当行因涉嫌收购来源不明物品被立案调查。知情人士透露，该店老板可能面临吊销执照的风险。",NARRATIVE_ECHO,95,2,[市场监管],violation;high;investigation,negotiation|stolen_risk|20|ABSOLUTE|2,,,,,,
