ID,Name_Default,Name_Restored,Name_Reforged,Category,Real_Value,Visual_Value,Uncertainty,Init_State_Tags,Attr_Tags,Hidden_Traits,Know_Cap,Desc_Default,Desc_Restored,Desc_Reforged,Name_Counterfeit,Desc_Counterfeit,Fit_Tags,Filler_Pool
item_bag_01,旧皮质手包,清洁保养手包,手工改色皮包,皮具,500,400,0.3,DIRTY,TRENDY;SENTIMENTAL,trait_date_code,80,五金件有氧化，皮面有使用痕迹。,清洁保养后皮质恢复光泽。,经过手工调色和边油重修，五金件更换为黄铜复古款，整体风格焕然一新。,中古奢侈包,伪造日期码和品牌标识，将其包装为某品牌早期限量款。,female;middle;decent,true
item_wallet_01,旧皮夹,保养后的皮夹,手工缝线皮夹,皮具,150,120,0.2,DIRTY,SENTIMENTAL,trait_monogram,50,边缘磨损，内衬有污渍。,清洁保养后质感柔软。,以马鞍针法手工重新缝合边缘，更换高级内衬，质感大幅提升。,手工定制皮夹,伪造手工烫印的定制字样，冒充名匠定制品。,male;middle,true
item_whisky_01,老威士忌,保存完好的威士忌,精装礼盒威士忌,酒类,800,600,0.4,,VINTAGE_REAL,trait_cask_number,100,酒标略有磨损，液面有轻微下降。,经过专业酒窖保存，品质稳定。,配以手工木质礼盒和品鉴手册，适合作为高端礼品呈现。,珍稀单桶原酒,伪造桶号标签和酒厂证书，将其包装为某酒厂限量单桶装瓶，存世极少。,middle;fancy;male,true
item_maotai_01,老茅台,品相完好的茅台,鉴证封装茅台,酒类,1500,1200,0.35,,VINTAGE_REAL;SENTIMENTAL,trait_vintage_year,120,酒瓶封口完好，酒线正常。,经过专业鉴定，确认年份真实。,附加专业鉴定封签和恒温存储证明，提升为投资级收藏品。,陈年飞天茅台,伪造出厂日期和批次号，将其包装为八十年代出厂的陈年佳酿。,elderly;middle;fancy,true
item_inkstone_01,旧砚台,清洗后的端砚,配座题铭砚,文房,400,300,0.4,DIRTY,VINTAGE_REAL;ARTISTIC,trait_pit_mark,100,砚面有墨渍，边缘有磕碰。,清洗后石质细腻，发墨极佳。,配以紫檀木底座，砚背由书法家题写铭文，文房气韵倍增。,名坑老坑砚,伪造坑口标记和鉴定书，将其包装为端溪老坑石，冒充极品。,elderly;decent,true
item_seal_01,旧印章,清理后的寿山石印,新刻闲章印,文房,350,280,0.35,DIRTY,ARTISTIC;SENTIMENTAL,trait_carver_mark,90,印面有残墨，钮部有轻微磨损。,清理后石质温润，印文清晰。,由篆刻师重新设计并篆刻新印面，配以锦盒和印泥，实用与艺术兼具。,名家篆刻印,伪造边款刀法，将其包装为某金石名家所刻，冒充名作。,elderly;middle,true
item_necklace_01,发黑的项链,抛光银项链,镶嵌改良项链,首饰,450,380,0.3,DIRTY,GOLD;SENTIMENTAL,trait_filler_jewelry_bargain,90,银链发黑，坠子被油污遮盖，款式看起来有些年头。,抛光后银面雪亮，坠子上的宝石闪烁着冷冽的光。,坠子重新包镶并加固底座，链身焊接加粗，整体更加牢固精致。,宫廷风珠宝,伪造做旧痕迹和风格特征，将其包装为清代宫廷风格珠宝。,female;elderly;decent,true
item_bracelet_01,褪色手镯,保养翡翠镯,精抛亮光翡翠镯,首饰,600,500,0.35,DIRTY,GOLD;VINTAGE_REAL,trait_filler_jewelry_mistake,100,翡翠手镯表面有些发乌，光泽暗淡，似乎放了很久。,经过仔细清洁保养，玉质渐渐通透起来。,经过专业精抛处理，表面光洁度提升至镜面级，水头和透光性显著改善。,老坑冰种镯,伪造鉴定证书，将其包装为老坑出的冰种翡翠，冒充高档品。,female;elderly;middle;decent,true
item_inkpainting_01,卷轴水墨画,装裱水墨画,博物馆级装裱画,艺术品,700,500,0.4,DIRTY,ARTISTIC;VINTAGE_REAL,trait_filler_art_bargain,140,画轴泛黄发霉，展开后画面有些模糊，但笔墨颇有气韵。,重新装裱后画面清晰，墨色层次分明，气势磅礴。,以宋式手卷规格重新装裱，选用古色绢面和紫檀轴头，呈现效果大幅提升。,名家山水卷,伪造鉴藏印和题跋，将其包装为某近代山水名家的早期作品。,elderly;decent;fancy,true
item_buddha_01,铜佛像,清理铜佛,贴金修饰铜佛,古董,1500,1100,0.4,DIRTY;RUSTED,VINTAGE_REAL;ARTISTIC,trait_filler_antique_bargain,130,铜佛通体铜绿，面目模糊，底座有一层厚厚的锈迹。,清除锈迹后铜质温润，佛像面容慈悲，线条流畅。,以传统贴金工艺为佛像局部鎏金，底座重新打磨上漆，庄严感倍增。,明代鎏金佛,伪造底座铭文和做旧包浆，将其包装为明代鎏金铜佛，冒充古物。,elderly;decent;SENTIMENTAL,true
item_threadbook_01,虫蛀线装书,修复线装书,影印批校线装本,书籍,250,200,0.3,BROKEN;DIRTY,VINTAGE_REAL,trait_filler_book_bargain,80,书页虫蛀严重，线装散开，但刻版字迹工整。,重新穿线装订后，书页平整，字迹清晰可读。,以手工宣纸影印缺页补全，加入学者批校注释，制成完整的研究用本。,宋版珍本,伪造版本特征和藏书印，将其包装为宋刻本残卷，冒充极品。,elderly;middle,true
item_phone_01,旧款手机,翻新手机,定制改装手机,电子产品,600,700,0.25,,MECHANICAL;TRENDY,trait_filler_electronics_mistake,70,屏幕有些划痕，外壳磨损，但开机流畅。,更换屏幕保护膜后焕然一新，系统运行顺畅。,更换定制后壳并优化系统，加装额外存储，性能和外观均有提升。,限定配色款,伪造型号标识，将其包装为某品牌与设计师联名的限定配色款。,young;middle;plain;shabby,true
item_jade_pendant_01,浑浊玉坠,通透玉佩,金扣镶嵌玉坠,珠宝,1800,1500,0.4,DIRTY,GOLD;VINTAGE_REAL,trait_filler_jewelry_bargain,110,玉坠表面蒙着一层厚重的油泥，透光性很差。,仔细清洗后玉质温润细腻，隐约有油脂光泽。,配以手工錾刻的足金扣头和丝绳，玉石与金属交相辉映，佩戴效果极佳。,和田籽料坠,伪造皮色和毛孔特征，将其包装为新疆和田籽料，冒充顶级玉料。,elderly;middle;decent;fancy,true
item_qipao_01,褪色旗袍,修复旗袍,改良新中式旗袍,服饰,500,400,0.35,DIRTY,VINTAGE_REAL;ARTISTIC,trait_filler_clothing_bargain,90,丝绸面料褪色发黄，盘扣有些松动，但裁剪精致。,经过专业修复和染色还原，旗袍光彩重现。,由裁缝改良版型为新中式风格，更换手工盘扣，加入现代元素同时保留古韵。,民国名媛定制旗袍,伪造裁缝标记和面料来源，将其包装为民国时期上海名裁缝定制，面料为法国进口丝绸。,female;elderly;decent;fancy,true
item_jacket_01,磨损皮夹克,保养皮衣,铆钉改装皮衣,服饰,350,300,0.25,DIRTY,TRENDY;SENTIMENTAL,trait_filler_clothing_mistake,70,皮面有多处擦痕，拉链有些涩，内衬起球。,经过皮革保养和拉链更换，质感恢复柔软。,加装黄铜铆钉和定制拉链头，内衬更换为丝绸面料，朋克风格与舒适度兼具。,摇滚传奇外套,伪造内衬签名，将其包装为曾属于某位摇滚乐手的演出服。,young;middle;male;plain,true
item_watchbox_01,落灰的表盒,清洁名表盒,改装展示表盒,奢侈品,400,350,0.3,DIRTY,TRENDY;MECHANICAL,trait_filler_luxury_bargain,80,木质表盒落满灰尘，铰链有些松动，但内衬完好。,清洁后木纹细腻，五金件恢复光泽，内衬平整如新。,更换铰链为静音款，内衬升级为麂皮材质，加装自动上链转台功能。,限量收藏套装,伪造品牌标识和限量编号，将其包装为某顶级腕表品牌限量收藏套装的原装盒。,male;middle;decent;fancy,true
item_scarf_01,起球丝巾,清洗丝巾,手绘加工丝巾,奢侈品,300,250,0.25,DIRTY,TRENDY;ARTISTIC,trait_filler_luxury_mistake,70,丝巾有些起球，折痕明显，颜色尚算鲜艳。,经专业清洗后丝质柔滑，图案色彩饱满。,由画师在丝巾边角手绘点缀纹样，增添独一无二的艺术气息。,大师联名限定丝巾,伪造品牌标签和联名标识，将其包装为某奢侈品牌与艺术大师的联名限定款。,female;middle;decent;fancy,true
item_bronze_mirror_01,锈蚀铜镜,清理铜镜,配座陈列铜镜,古玩,1000,700,0.45,DIRTY;RUSTED,VINTAGE_REAL;ARTISTIC,trait_filler_curio_bargain,120,镜面锈蚀严重，纹饰几乎看不清，分量沉重。,清除锈迹后纹饰渐显，线条精美，铸造精良。,配以黄花梨木展示架和亚克力保护罩，纹饰清晰呈现，适合陈列鉴赏。,唐代海兽葡萄镜,伪造铜质成分和做旧包浆，将其包装为唐代海兽葡萄纹铜镜。,elderly;decent,true
item_jade_tablet_01,灰蒙玉牌,盘玩玉牌,精雕补工玉牌,古玩,800,600,0.4,DIRTY,VINTAGE_REAL;ARTISTIC,trait_filler_curio_mistake,110,玉牌表面灰蒙蒙的，雕工看着还算细致。,经过仔细盘玩，玉质逐渐温润，雕工清晰可辨。,由玉雕师精修细节，补刻边饰纹样，配以手编绳结，兼具佩戴与赏玩功能。,乾隆工玉牌,伪造年代特征和刀法风格，将其包装为乾隆年间宫廷玉匠所制。,elderly;middle;decent,true
item_pocketwatch_01,锈住的怀表,修复机械怀表,蒸汽朋克改装怀表,钟表,350,300,0.3,BROKEN;DIRTY,MECHANICAL;VINTAGE_REAL,trait_filler_watch_bargain,90,怀表盖子锈得打不开，链子断了几节，从缝隙里能看到精密的齿轮。,机芯除锈润滑后走时精准，银质表壳重新抛光，怀旧感十足。,表盖加装透明视窗展示机芯，链条更换为黄铜齿轮造型，蒸汽朋克风格独具一格。,百年铁路怀表,伪造铁路局铭文和出厂标记，将其包装为十九世纪末铁路员工专用怀表。,elderly;middle;SENTIMENTAL,true
item_sportswatch_01,划痕运动表,翻新潜水表,改装专业潜水表,钟表,700,800,0.25,DIRTY,MECHANICAL;TRENDY,trait_filler_watch_mistake,80,表圈刮花严重，夜光刻度已经衰退，但防水圈看着还行。,更换表圈和表带后焕然一新，防水性能恢复良好。,升级为陶瓷表圈和钛合金表带，夜光涂层重新涂覆，专业潜水性能大幅增强。,军用特供表,伪造军方编号和特供标识，将其包装为某国军方特供款，民间从未公开发售。,male;middle;young,true
item_brooch_01,暗淡的胸针,抛光宝石胸针,珐琅彩绘胸针,首饰,250,200,0.3,DIRTY,GOLD;ARTISTIC,trait_filler_jewelry_bargain,80,胸针造型是一只蜻蜓，翅膀上镶嵌的小石头灰蒙蒙的。,抛光后金属部分闪闪发亮，镶嵌的宝石折射出迷人的光彩。,蜻蜓翅膀加施珐琅彩绘，色彩斑斓如真翅，艺术表现力大幅提升。,新艺术时期珍品,伪造年代风格和制作标记，将其包装为新艺术运动时期的珠宝大师之作。,female;elderly;decent,true
item_earring_01,缺一只的耳环,配对银耳环,改款吊坠耳饰,首饰,180,150,0.2,BROKEN,GOLD;SENTIMENTAL,trait_filler_jewelry_mistake,60,只剩一只耳环，银质发黑，但造型别致，坠子有细密的花纹。,找到配对后银面抛光如新，珐琅彩色泽鲜艳。,将单只耳环改造为精致吊坠，配以新链条，独特设计反而成为亮点。,古董珐琅耳饰,伪造年代特征和宫廷标记，将其包装为清末宫廷匠人制作的掐丝珐琅耳饰。,female;elderly,true
item_amber_01,浑浊琥珀坠,通透琥珀吊坠,银丝缠绕琥珀饰,珠宝,1600,1300,0.35,DIRTY,GOLD;VINTAGE_REAL,trait_filler_jewelry_bargain,100,琥珀表面蒙了一层污垢，颜色发暗，隐约能看到里面有东西。,清洁后琥珀通透温润，内含物若隐若现。,以银丝缠绕工艺制作底托，配以手工编织蜡绳，突出琥珀天然之美。,波罗的海虫珀,伪造内含物鉴定报告，将其包装为含有完整远古昆虫的珍贵波罗的海虫珀。,female;middle;decent,true
item_pearl_01,泛黄珍珠串,清洁珍珠项链,渐变排列珍珠链,珠宝,2200,1800,0.4,DIRTY,GOLD;ARTISTIC,trait_filler_jewelry_mistake,120,珍珠颜色发黄发暗，线绳有些松弛，但颗粒大小匀称。,逐颗清洁后珠光重现，重新穿线打结，佩戴牢固。,按色泽和大小精心排列为渐变序列，配以手工金扣，呈现优雅的层次感。,南洋金珠链,伪造产地检测报告，将其包装为天然南洋金珠，冒充顶级珍珠。,female;decent;fancy,true
item_woodprint_01,破损版画,修复木版画,手工着色版画,艺术品,500,350,0.35,BROKEN;DIRTY,ARTISTIC;VINTAGE_REAL,trait_filler_art_mistake,100,画面边缘有撕裂，颜色晕开了一部分，但线条依然有力。,经过专业修补和压平处理，画面重新完整呈现。,由版画师以矿物颜料手工着色，赋予黑白版画全新的视觉生命力。,浮世绘名作,伪造刻印标记和出版信息，将其包装为江户时期浮世绘名家原版。,elderly;middle;decent,true
item_sculpture_01,蒙灰小铜像,清洁铜雕塑,抛光上色铜雕,艺术品,1100,900,0.35,DIRTY;RUSTED,ARTISTIC;VINTAGE_REAL,trait_filler_art_bargain,130,小型铜雕布满灰尘和铜绿，造型抽象，底座有些歪斜。,清除铜绿后线条流畅，金属质感沉稳，底座修正后稳固。,表面经过精细抛光和氧化着色处理，配以大理石底座，展示效果更加专业。,名家铜雕原作,伪造创作档案和展览记录，将其包装为某现代雕塑大师的早期作品。,middle;decent;fancy,true
item_snuffbottle_01,磨损鼻烟壶,清洁鼻烟壶,配座精装鼻烟壶,古董,900,700,0.4,DIRTY,VINTAGE_REAL;ARTISTIC,trait_filler_antique_bargain,120,壶身磨损严重，内壁隐约有图案但看不太清。,清洁后壶身光滑，内壁的微型画作清晰可辨。,配以红木底座和锦盒，壶口加装象牙色盖子，整体呈现博物馆级收藏品质。,御制内画壶,伪造宫廷御用标记和名家落款，将其包装为清宫御用内画鼻烟壶。,elderly;decent;fancy,true
item_cloisonne_01,掉釉景泰蓝,修复景泰蓝,补釉增彩景泰蓝,古董,1800,1400,0.4,BROKEN;DIRTY,VINTAGE_REAL;ARTISTIC,trait_filler_antique_mistake,140,瓶身有几处珐琅脱落，露出铜胎，整体色彩依然斑斓。,脱落部分经专业填补修复，色彩浑然一体。,以传统珐琅工艺补施新色，局部增添金丝勾勒，色彩层次更加丰富。,宫廷景泰蓝瓶,伪造底款和年代特征，将其包装为明代宫廷御制景泰蓝。,elderly;decent;fancy;SENTIMENTAL,true
item_foreignbook_01,霉斑洋装书,修复精装书,皮面烫金精装书,书籍,150,120,0.25,DIRTY,VINTAGE_REAL;SENTIMENTAL,trait_filler_book_mistake,60,硬皮封面有霉斑，书脊开裂，但内页品相尚可。,清除霉斑后封面恢复质感，重新加固书脊。,更换为小牛皮封面并烫金压纹，书口刷金，提升为典藏级精装本。,初版签名本,伪造作者签名和版次信息，将其包装为某诺贝尔奖作家的初版签名本。,middle;decent,true
item_medbook_01,残破医书,修补药典,校注药典,书籍,300,250,0.35,BROKEN;DIRTY,VINTAGE_REAL,trait_filler_book_bargain,90,线装医书缺了封面，但内页的药方插图绘制精细。,修补封面和脱落页后，药方内容完整可读。,由中医师逐方校注并标注现代药名对照，提升为可实际参考的专业文献。,御医手抄本,伪造太医院印记和御医名款，将其包装为清代太医院御医的私人手抄本。,elderly;middle,true
item_harmonica_01,生锈口琴,清洁口琴,调音改良口琴,乐器,200,150,0.2,DIRTY;RUSTED,MECHANICAL;SENTIMENTAL,trait_filler_instrument_mistake,60,金属簧片有些生锈，琴身刻字模糊，但吹起来还能出声。,除锈打磨后音色恢复清亮，琴身刻字清晰可见。,簧片重新调校音准，琴格密封处理提升气密性，音色更加圆润饱满。,名家定制口琴,伪造琴身刻字和定制编号，将其包装为某口琴大师定制款。,middle;plain;SENTIMENTAL,true
item_erhu_01,断弦二胡,调弦后的二胡,改良共鸣二胡,乐器,600,500,0.3,BROKEN,ARTISTIC;VINTAGE_REAL,trait_filler_instrument_bargain,100,琴弦断了，蟒皮微微松弛，但琴杆木料纹路漂亮。,更换琴弦和调整蟒皮张力后，音色苍劲悠远。,更换高级蟒皮并加装微调器，琴码选用精制竹码，共鸣效果显著提升。,名家珍藏二胡,伪造琴杆内侧题款，将其包装为某二胡演奏名家的亲笔题款琴。,elderly;middle;decent,true
item_polaroid_01,卡壳拍立得,修复即时相机,改装创意相机,相机,300,350,0.2,BROKEN,MECHANICAL;TRENDY,trait_filler_camera_mistake,70,出片口卡住了，镜头有些雾化，机身布满贴纸。,修复出片机构和清洁镜头后，能正常拍照了。,加装外接闪光灯热靴和手柄，镜头加装近摄镜片，创意拍摄功能大幅拓展。,限量联名款相机,伪造联名标识和限量编号，将其包装为某摄影师联名限量款。,young;middle;plain,true
item_tablet_01,碎屏平板,换屏平板,扩容升级平板,电子产品,500,550,0.2,BROKEN,MECHANICAL;TRENDY,trait_filler_electronics_bargain,60,屏幕右上角有蜘蛛网状裂纹，但触控和系统运行正常。,更换屏幕后显示完美，系统清理优化后性能流畅。,扩展内存并安装专业创作软件套装，配以触控笔和保护套，生产力大幅提升。,艺术家定制版,伪造定制标识和内置软件来源，将其包装为某数字艺术家定制的限量版本。,young;middle;plain,true
item_headphones_01,掉漆耳机,翻新降噪耳机,换单元改装耳机,电子产品,400,450,0.2,DIRTY,MECHANICAL;TRENDY,trait_filler_electronics_mistake,60,耳罩皮革老化起皮，头梁漆面剥落，但驱动单元出声正常。,更换耳罩和重新喷漆后外观如新，佩戴舒适。,更换为高端驱动单元并重新调音，声场和解析力显著提升。,录音室监听版,伪造型号标识和认证标签，将其包装为某唱片公司录音室专供的监听版本。,young;middle;plain,true
